GENESIS-Tabelle: 61511-111r
Bauland: Gemeinden, Veräußerungsfälle, veräußerte Fläche,;;;;;;;;;;;;;;;;;
Kaufpreis, durchschnittliche Kaufwerte (EUR/qm),;;;;;;;;;;;;;;;;;
Baulandarten, Jahr (ab 2010);;;;;;;;;;;;;;;;;
Statistik der Kaufwerte für Bauland;;;;;;;;;;;;;;;;;
2017;;;;;;;;;;;;;;;;;
;;Veräußerungsfälle;;Veräußerungsfälle;;Veräußerte Fläche;;Veräußerte Fläche;;Verkaufspreis;;Verkaufspreis;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;
;;Bauland insgesamt;;baureifes Land;;Bauland insgesamt;;baureifes Land;;Bauland insgesamt;;baureifes Land;;Bauland insgesamt;;baureifes Land;
;;Anzahl;;Anzahl;;1000 qm;;1000 qm;;Tsd. EUR;;Tsd. EUR;;EUR/qm;;EUR/qm;
09179134;      Maisach;25;e;23;e;19;e;16;e;12584;e;.;.;655,98;e;.;.
09179136;      Mammendorf;8;e;8;e;5;e;5;e;3259;e;3259;e;719,47;e;719,47;e
09179137;      Mittelstetten;1;e;1;e;0;e;0;e;.;.;.;.;.;.;.;.
09179138;      Moorenweis;9;e;7;e;9;e;5;e;3077;e;.;.;344,66;e;.;.
09179140;      Oberschweinbach;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09179142;      Olching, St;10;e;9;e;11;e;10;e;9541;e;.;.;866,25;e;.;.
09179145;      Puchheim, St;12;e;12;e;12;e;12;e;12223;e;12223;e;985,66;e;985,66;e
09179147;      Schöngeising;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09179149;      Türkenfeld;4;e;4;e;5;e;5;e;3110;e;3110;e;611,48;e;611,48;e
09180;    Garmisch-Partenkirchen (Lkr);143;e;119;e;147;e;106;e;53448;e;47771;e;362,52;e;451,21;e
09180112;      Bad Kohlgrub;9;e;9;e;6;e;6;e;1311;e;1311;e;223,98;e;223,98;e
09180113;      Bad Bayersoien;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09180114;      Eschenlohe;3;e;2;e;3;e;2;e;857;e;.;.;316,24;e;.;.
09180115;      Ettal;1;e;1;e;3;e;3;e;.;.;.;.;.;.;.;.
09180116;      Farchant;4;e;4;e;1;e;1;e;671;e;671;e;461,49;e;461,49;e
09180117;      Garmisch-Partenkirchen, M;16;e;15;e;34;e;34;e;23040;e;.;.;668,87;e;.;.
09180118;      Grainau;4;e;4;e;4;e;4;e;2072;e;2072;e;570,80;e;570,80;e
09180119;      Großweil;18;e;18;e;12;e;12;e;3953;e;3953;e;321,27;e;321,27;e
09180122;      Krün;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09180123;      Mittenwald, M;3;e;3;e;2;e;2;e;564;e;564;e;373,63;e;373,63;e
09180124;      Murnau a.Staffelsee, M;15;e;10;e;23;e;11;e;8694;e;6148;e;375,62;e;561,39;e
09180125;      Oberammergau;9;e;6;e;9;e;3;e;1451;e;920;e;167,85;e;315,07;e
09180126;      Oberau;2;e;-;-;4;e;-;-;.;.;-;-;.;.;-;-
09180127;      Ohlstadt;39;e;30;e;32;e;16;e;4889;e;3163;e;154,47;e;192,17;e
09180128;      Riegsee;5;e;5;e;2;e;2;e;1128;e;1128;e;478,03;e;478,03;e
09180129;      Saulgrub;4;e;4;e;3;e;3;e;505;e;505;e;171,69;e;171,69;e
09180131;      Schwaigen;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09180132;      Seehausen a.Staffelsee;3;e;3;e;3;e;3;e;1662;e;1662;e;619,69;e;619,69;e
09180133;      Spatzenhausen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09180134;      Uffing a.Staffelsee;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09180135;      Unterammergau;4;e;1;e;4;e;1;e;397;e;.;.;110,54;e;.;.
09180136;      Wallgau;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09180444;      Gemeindefreie Gebiete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09181;    Landsberg am Lech (Lkr);302;e;253;e;325;e;209;e;73626;e;66231;e;226,27;e;317,36;e
09181111;      Apfeldorf;3;e;2;e;2;e;1;e;299;e;.;.;185,34;e;.;.
09181113;      Denklingen;58;e;55;e;60;e;41;e;6720;e;5843;e;111,59;e;143,48;e
09181114;      Dießen am Ammersee, M;15;e;14;e;19;e;19;e;10222;e;.;.;530,59;e;.;.
09181115;      Eching am Ammersee;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09181116;      Egling a.d.Paar;4;e;3;e;2;e;2;e;703;e;.;.;292,50;e;.;.
09181118;      Eresing;8;e;7;e;6;e;6;e;2383;e;.;.;388,69;e;.;.
09181120;      Finning;2;e;2;e;3;e;3;e;.;.;.;.;.;.;.;.
09181121;      Fuchstal;31;e;29;e;23;e;21;e;2530;e;.;.;108,12;e;.;.
09181122;      Geltendorf;4;e;4;e;5;e;5;e;1572;e;1572;e;326,22;e;326,22;e
09181123;      Greifenberg;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09181124;      Hofstetten;7;e;3;e;11;e;2;e;1039;e;379;e;93,65;e;217,75;e
09181126;      Hurlach;22;e;19;e;21;e;12;e;2734;e;2081;e;133,12;e;174,72;e
09181127;      Igling;3;e;2;e;3;e;2;e;473;e;.;.;139,39;e;.;.
09181128;      Kaufering, M;8;e;3;e;11;e;5;e;2356;e;1720;e;207,13;e;364,64;e
09181129;      Kinsau;9;e;6;e;14;e;4;e;502;e;448;e;36,01;e;108,00;e
09181130;      Landsberg am Lech, GKSt;22;e;14;e;58;e;21;e;15902;e;12550;e;271,91;e;597,24;e
09181131;      Obermeitingen;5;e;4;e;4;e;2;e;542;e;.;.;124,08;e;.;.
09181132;      Penzing;4;e;4;e;4;e;4;e;749;e;749;e;191,12;e;191,12;e
09181133;      Vilgertshofen;16;e;12;e;15;e;10;e;1808;e;1570;e;123,83;e;152,78;e
09181134;      Prittriching;18;e;16;e;16;e;10;e;2080;e;.;.;128,46;e;.;.
09181135;      Reichling;1;e;-;-;1;e;-;-;.;.;-;-;.;.;-;-
09181137;      Rott;13;e;13;e;9;e;9;e;1707;e;1707;e;185,22;e;185,22;e
09181138;      Scheuring;5;e;3;e;2;e;2;e;481;e;.;.;195,13;e;.;.
09181139;      Schondorf am Ammersee;6;e;6;e;7;e;7;e;7935;e;7935;e;1113,81;e;1113,81;e
09181140;      Schwifting;1;e;1;e;2;e;2;e;.;.;.;.;.;.;.;.
09181141;      Pürgen;5;e;2;e;6;e;1;e;588;e;.;.;102,10;e;.;.
09181142;      Thaining;5;e;5;e;3;e;3;e;750;e;750;e;254,64;e;254,64;e
09181143;      Unterdießen;4;e;4;e;3;e;3;e;526;e;526;e;203,42;e;203,42;e
09181144;      Utting am Ammersee;10;e;9;e;6;e;6;e;4522;e;.;.;766,23;e;.;.
09181145;      Weil;4;e;4;e;2;e;2;e;632;e;632;e;376,86;e;376,86;e
09181146;      Windach;8;e;6;e;5;e;4;e;1882;e;.;.;344,97;e;.;.
09181444;      Gemeindefreie Gebiete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09182;    Miesbach (Lkr);135;e;103;e;227;e;144;e;139015;e;124895;e;613,37;e;864,81;e
09182111;      Bad Wiessee;13;e;13;e;21;e;21;e;27690;e;27690;e;1335,49;e;1335,49;e
09182112;      Bayrischzell;1;e;1;e;0;e;0;e;.;.;.;.;.;.;.;.
09182114;      Fischbachau;4;e;4;e;4;e;4;e;1970;e;1970;e;441,91;e;441,91;e
09182116;      Gmund a.Tegernsee;6;e;6;e;6;e;6;e;5593;e;5593;e;884,04;e;884,04;e
09182119;      Hausham;2;e;-;-;3;e;-;-;.;.;-;-;.;.;-;-
09182120;      Holzkirchen, M;22;e;15;e;69;e;21;e;25483;e;14699;e;371,59;e;694,35;e
09182123;      Irschenberg;8;e;4;e;10;e;5;e;1311;e;1216;e;125,26;e;228,52;e
09182124;      Kreuth;6;e;4;e;6;e;3;e;3016;e;.;.;501,70;e;.;.
09182125;      Miesbach, St;6;e;5;e;4;e;2;e;811;e;.;.;229,21;e;.;.
09182127;      Otterfing;5;e;4;e;4;e;3;e;2178;e;.;.;530,37;e;.;.
09182129;      Rottach-Egern;14;e;14;e;24;e;24;e;30400;e;30400;e;1253,08;e;1253,08;e
09182131;      Schliersee, M;14;e;12;e;19;e;17;e;8587;e;.;.;454,97;e;.;.
09182132;      Tegernsee, St;5;e;4;e;9;e;8;e;18863;e;.;.;2206,98;e;.;.
09182133;      Valley;6;e;-;-;11;e;-;-;1134;e;-;-;105,46;e;-;-
09182134;      Waakirchen;14;e;10;e;19;e;12;e;5756;e;4982;e;297,78;e;400,20;e
09182136;      Warngau;3;e;1;e;2;e;1;e;616;e;.;.;327,76;e;.;.
09182137;      Weyarn;6;e;6;e;16;e;16;e;4829;e;4829;e;309,80;e;309,80;e
09183;    Mühldorf a.Inn (Lkr);224;e;193;e;233;e;155;e;25494;e;22975;e;109,49;e;148,13;e
09183112;      Ampfing;13;e;11;e;19;e;15;e;4583;e;.;.;244,93;e;.;.
09183113;      Aschau a.Inn;4;e;1;e;5;e;1;e;257;e;.;.;47,98;e;.;.
09183114;      Buchbach, M;2;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09183115;      Egglkofen;11;e;11;e;11;e;11;e;878;e;878;e;79,90;e;79,90;e
09183116;      Erharting;1;e;1;e;2;e;2;e;.;.;.;.;.;.;.;.
09183118;      Gars a.Inn, M;4;e;3;e;3;e;2;e;366;e;.;.;129,33;e;.;.
09183119;      Haag i.OB, M;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09183120;      Heldenstein;10;e;8;e;47;e;7;e;1674;e;.;.;35,65;e;.;.
09183122;      Jettenbach;3;e;-;-;2;e;-;-;67;e;-;-;27,27;e;-;-
09183123;      Kirchdorf;3;e;1;e;3;e;1;e;440;e;.;.;158,57;e;.;.
09183124;      Kraiburg a.Inn, M;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09183125;      Lohkirchen;5;e;5;e;4;e;4;e;409;e;409;e;107,62;e;107,62;e
09183126;      Maitenbeth;6;e;4;e;6;e;3;e;731;e;.;.;117,02;e;.;.
09183127;      Mettenheim;20;e;20;e;10;e;10;e;1880;e;1880;e;181,08;e;181,08;e
09183128;      Mühldorf a.Inn, St;23;e;21;e;23;e;14;e;3672;e;.;.;156,97;e;.;.
09183129;      Neumarkt-Sankt Veit, St;24;e;21;e;19;e;15;e;2131;e;2022;e;114,19;e;132,66;e
09183130;      Niederbergkirchen;16;e;14;e;12;e;9;e;601;e;.;.;51,49;e;.;.
09183131;      Niedertaufkirchen;7;e;7;e;7;e;7;e;396;e;396;e;56,20;e;56,20;e
09183132;      Oberbergkirchen;9;e;9;e;6;e;6;e;663;e;663;e;112,21;e;112,21;e
09183134;      Oberneukirchen;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09183135;      Obertaufkirchen;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09183136;      Polling;10;e;9;e;9;e;9;e;876;e;.;.;99,34;e;.;.
09183138;      Rattenkirchen;6;e;6;e;4;e;4;e;515;e;515;e;130,66;e;130,66;e
09183139;      Rechtmehring;6;e;4;e;5;e;2;e;611;e;.;.;134,07;e;.;.
09183140;      Reichertsheim;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09183143;      Schönberg;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09183144;      Schwindegg;4;e;2;e;4;e;2;e;372;e;.;.;95,49;e;.;.
09183145;      Taufkirchen;7;e;7;e;5;e;5;e;438;e;438;e;94,03;e;94,03;e
09183147;      Unterreit;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09183148;      Waldkraiburg, St;11;e;9;e;14;e;13;e;2195;e;.;.;156,34;e;.;.
09183151;      Zangberg;12;e;11;e;8;e;8;e;909;e;.;.;107,11;e;.;.
09183444;      Gemeindefreie Gebiete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09184;    München (Lkr);335;e;295;e;434;e;279;e;438238;e;392088;e;1009,71;e;1405,43;e
09184112;      Aschheim;8;e;2;e;32;e;6;e;15492;e;.;.;489,17;e;.;.
09184113;      Baierbrunn;3;e;3;e;7;e;7;e;8212;e;8212;e;1095,60;e;1095,60;e
09184114;      Brunnthal;13;e;11;e;10;e;8;e;6866;e;.;.;691,39;e;.;.
09184118;      Feldkirchen;3;e;2;e;7;e;1;e;4713;e;.;.;643,68;e;.;.
09184119;      Garching b.München, St;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09184120;      Gräfelfing;19;e;17;e;20;e;13;e;28654;e;.;.;1408,41;e;.;.
09184121;      Grasbrunn;11;e;9;e;13;e;7;e;9125;e;.;.;726,20;e;.;.
09184122;      Grünwald;27;e;27;e;44;e;44;e;89606;e;89606;e;2045,65;e;2045,65;e
09184123;      Haar;25;e;25;e;38;e;38;e;43760;e;43760;e;1161,00;e;1161,00;e
09184127;      Höhenkirchen-Siegertsbrunn;12;e;9;e;20;e;5;e;13755;e;6474;e;671,72;e;1234,01;e
09184129;      Hohenbrunn;10;e;10;e;8;e;8;e;9698;e;9698;e;1150,28;e;1150,28;e
09184130;      Ismaning;27;e;23;e;15;e;9;e;18037;e;16191;e;1181,88;e;1827,88;e
09184131;      Kirchheim b.München;1;e;-;-;3;e;-;-;.;.;-;-;.;.;-;-
09184132;      Neuried;6;e;5;e;12;e;2;e;9511;e;.;.;769,67;e;.;.
09184134;      Oberhaching;25;e;23;e;21;e;15;e;22735;e;.;.;1099,11;e;.;.
09184135;      Oberschleißheim;10;e;10;e;9;e;9;e;10246;e;10246;e;1126,41;e;1126,41;e
09184136;      Ottobrunn;27;e;26;e;16;e;16;e;29555;e;.;.;1823,14;e;.;.
09184137;      Aying;21;e;20;e;14;e;12;e;8543;e;.;.;596,45;e;.;.
09184138;      Planegg;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09184139;      Pullach i.Isartal;9;e;9;e;22;e;22;e;25484;e;25484;e;1148,36;e;1148,36;e
09184140;      Putzbrunn;8;e;7;e;8;e;4;e;6667;e;.;.;786,99;e;.;.
09184141;      Sauerlach;10;e;9;e;7;e;5;e;7302;e;.;.;994,61;e;.;.
09184142;      Schäftlarn;10;e;7;e;12;e;9;e;8979;e;8816;e;770,53;e;989,12;e
09184144;      Straßlach-Dingharting;7;e;7;e;10;e;10;e;11396;e;11396;e;1111,39;e;1111,39;e
09184145;      Taufkirchen;6;e;4;e;12;e;3;e;8417;e;.;.;679,74;e;.;.
09184146;      Neubiberg;6;e;6;e;5;e;5;e;10066;e;10066;e;1955,65;e;1955,65;e
09184147;      Unterföhring;10;e;5;e;44;e;3;e;7377;e;6015;e;168,47;e;1834,40;e
09184148;      Unterhaching;8;e;7;e;10;e;6;e;11934;e;.;.;1198,19;e;.;.
09184149;      Unterschleißheim, St;11;e;10;e;11;e;9;e;9050;e;.;.;832,92;e;.;.
09184444;      Gemeindefreie Gebiete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09185;    Neuburg-Schrobenhausen (Lkr);330;e;279;e;317;e;208;e;46205;e;38931;e;145,92;e;186,78;e
09185113;      Aresing;38;e;38;e;25;e;25;e;3966;e;3966;e;156,46;e;156,46;e
09185116;      Berg im Gau;4;e;4;e;3;e;3;e;265;e;265;e;89,60;e;89,60;e
09185118;      Bergheim;9;e;9;e;6;e;6;e;1174;e;1174;e;200,92;e;200,92;e
09185123;      Brunnen;15;e;12;e;21;e;11;e;2039;e;1583;e;96,89;e;139,29;e
09185125;      Burgheim, M;8;e;5;e;8;e;3;e;337;e;281;e;40,21;e;85,54;e
09185127;      Ehekirchen;27;e;26;e;21;e;20;e;2883;e;.;.;137,11;e;.;.
09185131;      Gachenbach;19;e;10;e;37;e;8;e;3201;e;1234;e;87,29;e;146,16;e
09185139;      Karlshuld;15;e;9;e;16;e;6;e;1779;e;1097;e;109,94;e;170,63;e
09185140;      Karlskron;4;e;3;e;6;e;3;e;.;.;.;.;.;.;.;.
09185143;      Langenmosen;13;e;6;e;6;e;4;e;379;e;364;e;61,15;e;95,99;e
09185149;      Neuburg a.d.Donau, GKSt;54;e;42;e;63;e;29;e;11636;e;8397;e;186,11;e;291,08;e
09185150;      Oberhausen;4;e;4;e;5;e;5;e;844;e;844;e;168,48;e;168,48;e
09185153;      Rennertshofen, M;43;e;42;e;31;e;30;e;2978;e;.;.;96,11;e;.;.
09185157;      Rohrenfels;5;e;4;e;4;e;4;e;679;e;.;.;176,39;e;.;.
09185158;      Schrobenhausen, St;53;e;48;e;48;e;36;e;11409;e;10875;e;239,75;e;297,97;e
09185163;      Königsmoos;10;e;8;e;12;e;9;e;807;e;.;.;67,14;e;.;.
09185166;      Waidhofen;7;e;7;e;4;e;4;e;753;e;753;e;174,97;e;174,97;e
09185168;      Weichering;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09186;    Pfaffenhofen a.d.Ilm (Lkr);342;e;287;e;638;e;211;e;90280;e;65115;e;141,42;e;308,90;e
09186113;      Baar-Ebenhausen;8;e;7;e;7;e;5;e;1684;e;.;.;238,89;e;.;.
09186116;      Ernsgaden;3;e;3;e;2;e;2;e;524;e;524;e;234,24;e;234,24;e
09186122;      Geisenfeld, St;32;e;32;e;22;e;22;e;6125;e;6125;e;277,33;e;277,33;e
09186125;      Gerolsbach;27;e;15;e;35;e;11;e;2853;e;2677;e;81,58;e;236,45;e
09186126;      Hettenshausen;4;e;3;e;11;e;3;e;2545;e;.;.;225,04;e;.;.
09186128;      Hohenwart, M;81;e;78;e;56;e;49;e;9988;e;9628;e;178,55;e;197,76;e
09186130;      Ilmmünster;5;e;5;e;3;e;3;e;974;e;974;e;372,95;e;372,95;e
09186132;      Jetzendorf;9;e;9;e;5;e;5;e;2620;e;2620;e;502,63;e;502,63;e
09186137;      Manching, M;23;e;22;e;15;e;13;e;6579;e;.;.;446,92;e;.;.
09186139;      Münchsmünster;8;e;6;e;207;e;4;e;5769;e;.;.;27,85;e;.;.
09186143;      Pfaffenhofen a.d.Ilm, St;31;e;22;e;43;e;18;e;14139;e;10536;e;328,44;e;571,18;e
09186144;      Pörnbach;13;e;3;e;30;e;3;e;3022;e;696;e;102,14;e;255,69;e
09186146;      Reichertshausen;9;e;7;e;8;e;6;e;2381;e;.;.;305,97;e;.;.
09186147;      Reichertshofen, M;20;e;17;e;105;e;12;e;15405;e;5743;e;146,99;e;480,38;e
09186149;      Rohrbach;8;e;5;e;9;e;3;e;1554;e;951;e;164,96;e;278,48;e
09186151;      Scheyern;8;e;4;e;11;e;5;e;1605;e;1551;e;139,95;e;292,66;e
09186152;      Schweitenkirchen;9;e;8;e;12;e;9;e;2360;e;.;.;195,17;e;.;.
09186158;      Vohburg a.d.Donau, St;20;e;20;e;15;e;15;e;4651;e;4651;e;301,30;e;301,30;e
09186162;      Wolnzach, M;24;e;21;e;41;e;22;e;5503;e;4264;e;132,64;e;192,21;e
09187;    Rosenheim (Lkr);396;e;294;e;483;e;297;e;149592;e;130386;e;309,75;e;438,73;e
09187113;      Amerang;8;e;2;e;5;e;3;e;1130;e;.;.;235,78;e;.;.
09187114;      Aschau i.Chiemgau;8;e;6;e;14;e;13;e;4419;e;.;.;317,40;e;.;.
09187116;      Babensham;12;e;10;e;10;e;8;e;1371;e;.;.;132,51;e;.;.
09187117;      Bad Aibling, St;19;e;17;e;21;e;19;e;12084;e;.;.;563,18;e;.;.
09187118;      Bernau a.Chiemsee;7;e;5;e;13;e;4;e;3481;e;.;.;260,69;e;.;.
09187120;      Brannenburg;2;e;1;e;6;e;1;e;.;.;.;.;.;.;.;.
09187121;      Breitbrunn a.Chiemsee;4;e;4;e;6;e;6;e;5327;e;5327;e;931,07;e;931,07;e
09187122;      Bruckmühl, M;37;e;26;e;51;e;31;e;17025;e;15000;e;331,88;e;491,54;e
09187123;      Chiemsee;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09187124;      Edling;11;e;8;e;15;e;6;e;3323;e;2370;e;218,24;e;373,49;e
09187125;      Eggstätt;8;e;4;e;9;e;3;e;1742;e;1322;e;186,79;e;411,97;e
09187126;      Eiselfing;31;e;29;e;27;e;24;e;6904;e;.;.;256,72;e;.;.
09187128;      Bad Endorf, M;11;e;7;e;9;e;7;e;2110;e;2092;e;234,50;e;317,59;e
09187129;      Bad Feilnbach;9;e;8;e;8;e;8;e;3038;e;.;.;368,05;e;.;.
09187130;      Feldkirchen-Westerham;16;e;14;e;44;e;10;e;10798;e;.;.;246,65;e;.;.
09187131;      Flintsbach a.Inn;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09187132;      Frasdorf;1;e;1;e;0;e;0;e;.;.;.;.;.;.;.;.
09187134;      Griesstätt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09187137;      Großkarolinenfeld;10;e;7;e;12;e;4;e;2604;e;2548;e;209,14;e;641,43;e
09187138;      Gstadt a.Chiemsee;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09187139;      Halfing;2;e;1;e;2;e;0;e;.;.;.;.;.;.;.;.
09187142;      Schechen;3;e;3;e;5;e;5;e;1299;e;1299;e;241,35;e;241,35;e
09187145;      Höslwang;1;e;-;-;2;e;-;-;.;.;-;-;.;.;-;-
09187148;      Kiefersfelden;2;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09187150;      Kolbermoor, St;13;e;13;e;18;e;18;e;9651;e;9651;e;534,28;e;534,28;e
09187154;      Neubeuern, M;12;e;5;e;12;e;7;e;4215;e;2732;e;337,66;e;408,83;e
09187156;      Nußdorf a.Inn;2;e;2;e;2;e;2;e;.;.;.;.;.;.;.;.
09187157;      Oberaudorf;17;e;12;e;24;e;12;e;5606;e;4617;e;234,27;e;399,19;e
09187159;      Pfaffing;3;e;2;e;2;e;2;e;265;e;.;.;137,70;e;.;.
09187162;      Prien a.Chiemsee, M;24;e;24;e;25;e;25;e;17898;e;17898;e;721,23;e;721,23;e
09187163;      Prutting;13;e;13;e;8;e;8;e;2581;e;2581;e;325,57;e;325,57;e
09187164;      Ramerberg;4;e;4;e;2;e;2;e;599;e;599;e;302,17;e;302,17;e
09187165;      Raubling;10;e;8;e;13;e;6;e;2906;e;.;.;231,34;e;.;.
09187167;      Riedering;2;e;2;e;2;e;2;e;.;.;.;.;.;.;.;.
09187168;      Rimsting;4;e;1;e;6;e;1;e;1003;e;.;.;181,73;e;.;.
09187169;      Rohrdorf;11;e;9;e;17;e;14;e;6202;e;.;.;366,20;e;.;.
09187170;      Rott a.Inn;9;e;2;e;14;e;1;e;413;e;.;.;30,07;e;.;.
09187172;      Samerberg;4;e;4;e;6;e;6;e;870;e;870;e;154,24;e;154,24;e
09187173;      Schonstett;1;e;-;-;0;e;-;-;.;.;-;-;.;.;-;-
09187174;      Söchtenau;5;e;1;e;3;e;1;e;254;e;.;.;81,03;e;.;.
09187176;      Soyen;8;e;8;e;7;e;7;e;1310;e;1310;e;199,24;e;199,24;e
09187177;      Stephanskirchen;7;e;5;e;13;e;5;e;2928;e;.;.;217,81;e;.;.
09187179;      Tuntenhausen;21;e;9;e;17;e;7;e;3525;e;2606;e;204,90;e;356,06;e
09187181;      Vogtareuth;7;e;4;e;5;e;3;e;897;e;874;e;186,91;e;320,38;e
09187182;      Wasserburg a.Inn, St;9;e;8;e;21;e;17;e;6867;e;.;.;323,35;e;.;.
09187186;      Albaching;7;e;3;e;4;e;2;e;749;e;601;e;176,21;e;384,70;e
09187444;      Gemeindefreie Gebiete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09188;    Starnberg (Lkr);194;e;167;e;209;e;160;e;193945;e;187242;e;927,31;e;1168,65;e
09188113;      Berg;20;e;19;e;25;e;25;e;34468;e;.;.;1372,95;e;.;.
09188117;      Andechs;9;e;9;e;11;e;11;e;7802;e;7802;e;712,58;e;712,58;e
09188118;      Feldafing;10;e;7;e;13;e;5;e;5888;e;4887;e;455,83;e;966,33;e
09188120;      Gauting;26;e;25;e;19;e;18;e;22604;e;.;.;1205,88;e;.;.
09188121;      Gilching;28;e;20;e;33;e;14;e;20241;e;15821;e;614,38;e;1161,88;e
09188124;      Herrsching a.Ammersee;14;e;14;e;15;e;15;e;20346;e;20346;e;1321,39;e;1321,39;e
09188126;      Inning a.Ammersee;8;e;5;e;9;e;4;e;4143;e;3144;e;440,46;e;758,41;e
09188127;      Krailling;10;e;9;e;6;e;6;e;9557;e;.;.;1487,69;e;.;.
09188132;      Seefeld;6;e;4;e;15;e;2;e;2352;e;.;.;154,43;e;.;.
09188137;      Pöcking;9;e;7;e;7;e;6;e;8410;e;.;.;1242,76;e;.;.
09188139;      Starnberg, St;30;e;27;e;29;e;27;e;35933;e;35763;e;1231,14;e;1314,62;e
09188141;      Tutzing;12;e;11;e;16;e;15;e;13238;e;.;.;847,69;e;.;.
09188144;      Weßling;3;e;3;e;3;e;3;e;1473;e;1473;e;564,95;e;564,95;e
09188145;      Wörthsee;9;e;7;e;8;e;8;e;7489;e;.;.;954,61;e;.;.
09188444;      Gemeindefreie Gebiete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09189;    Traunstein (Lkr);203;e;150;e;350;e;158;e;52925;e;42972;e;151,14;e;272,76;e
09189111;      Altenmarkt a.d.Alz;5;e;4;e;5;e;3;e;800;e;.;.;171,23;e;.;.
09189113;      Bergen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09189114;      Chieming;10;e;8;e;11;e;11;e;2868;e;.;.;263,26;e;.;.
09189115;      Engelsberg;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09189118;      Fridolfing;8;e;4;e;75;e;5;e;3335;e;1001;e;44,49;e;199,05;e
09189119;      Grabenstätt;6;e;4;e;9;e;3;e;1091;e;.;.;124,61;e;.;.
09189120;      Grassau, M;5;e;5;e;5;e;5;e;1546;e;1546;e;304,67;e;304,67;e
09189124;      Inzell;9;e;9;e;5;e;5;e;1641;e;1641;e;315,23;e;315,23;e
09189126;      Kienberg;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09189127;      Kirchanschöring;3;e;1;e;7;e;1;e;407;e;.;.;60,78;e;.;.
09189129;      Marquartstein;4;e;4;e;3;e;3;e;1044;e;1044;e;392,21;e;392,21;e
09189130;      Nußdorf;7;e;4;e;13;e;3;e;1500;e;682;e;119,40;e;232,22;e
09189133;      Obing;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09189134;      Palling;3;e;2;e;3;e;1;e;173;e;.;.;54,99;e;.;.
09189135;      Petting;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09189137;      Pittenhart;1;e;1;e;0;e;0;e;.;.;.;.;.;.;.;.
09189139;      Reit im Winkl;11;e;8;e;7;e;4;e;1459;e;1204;e;221,98;e;277,87;e
09189140;      Ruhpolding;7;e;6;e;5;e;5;e;1417;e;.;.;257,95;e;.;.
09189141;      Schleching;5;e;4;e;3;e;3;e;952;e;.;.;287,96;e;.;.
09189142;      Schnaitsee;9;e;7;e;12;e;8;e;1722;e;.;.;140,61;e;.;.
09189143;      Seeon-Seebruck;3;e;1;e;2;e;1;e;459;e;.;.;296,41;e;.;.
09189145;      Siegsdorf;6;e;3;e;21;e;9;e;4047;e;3177;e;188,49;e;367,33;e
09189146;      Staudach-Egerndach;1;e;-;-;0;e;-;-;.;.;-;-;.;.;-;-
09189148;      Surberg;3;e;3;e;8;e;8;e;1462;e;1462;e;184,70;e;184,70;e
